MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Candida_zeylanoides,Mock3,Qmin17,minimap2,NCBI,0.235517569,0.133909287,0.976377953
Cryptococcus_gattii_VGI,Mock3,Qmin17,minimap2,NCBI,0,0,0
Cryptococcus_neoformans_VNIII,Mock3,Qmin17,minimap2,NCBI,0.00114482,0.000572738,1
Diplodia_seriata,Mock3,Qmin17,minimap2,NCBI,0.890951276,0.803907886,0.999132697
Fusarium_pseudograminearum,Mock3,Qmin17,minimap2,NCBI,0.150896207,0.08160505,1
Kluyveromyces_lactis,Mock3,Qmin17,minimap2,NCBI,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin17,minimap2,NCBI,0.813134893,0.686204147,0.997681159
Kodamaea_ohmeri,Mock3,Qmin17,minimap2,NCBI,0.272783633,0.157989228,0.997732426
Leptosphaeria_maculans,Mock3,Qmin17,minimap2,NCBI,0.954043463,0.912747103,0.999253731
Penicillium_chrysogenum,Mock3,Qmin17,minimap2,NCBI,0.000878349,0.000439367,1
Pichia_kudriavzevii,Mock3,Qmin17,minimap2,NCBI,0.395643215,0.248062016,0.976744186
Pichia_membranifaciens,Mock3,Qmin17,minimap2,NCBI,0.813167648,0.685661765,0.998928763
Quambalaria_cyanescens,Mock3,Qmin17,minimap2,NCBI,0.018410042,0.009290541,1
Rhodotorula_mucilaginosa,Mock3,Qmin17,minimap2,NCBI,0.7787555,0.640972581,0.991993595
Scedosporium_aurantiacum,Mock3,Qmin17,minimap2,NCBI,0.413366337,0.260530421,1
Trichomonascus_ciferrii,Mock3,Qmin17,minimap2,NCBI,0.005136107,0.002574665,1
Trichosporon_asahii,Mock3,Qmin17,minimap2,NCBI,0.679662118,0.516033547,0.995242626
Tuber_brumale,Mock3,Qmin17,minimap2,NCBI,0.20625,0.115071678,0.993311037
Wickerhamomyces_anomalus,Mock3,Qmin17,minimap2,NCBI,0.221606648,0.124804992,0.987654321
Yamadazyma_mexicana,Mock3,Qmin17,minimap2,NCBI,0.910458453,0.837837838,0.996862745
Yamadazyma_scolyti,Mock3,Qmin17,minimap2,NCBI,0.790551181,0.654924984,0.997020854
Yarrowia_lipolytica,Mock3,Qmin17,minimap2,NCBI,0.871478194,0.850150602,0.893903405
Zymoseptoria_tritici,Mock3,Qmin17,minimap2,NCBI,0.45112782,0.291262136,1
Aspergillus_flavus,Mock3,Qmin17,kraken2,NCBI,0.000966184,0.000483325,1
Aspergillus_fumigatus,Mock3,Qmin17,kraken2,NCBI,0.038208169,0.019476158,1
Blastobotrys_adeninivorans,Mock3,Qmin17,kraken2,NCBI,0.97648686,0.95761275,0.996119929
Blastobotrys_proliferans,Mock3,Qmin17,kraken2,NCBI,0.983277592,0.972079353,0.994736842
Candida_boleticola,Mock3,Qmin17,kraken2,NCBI,0.981245814,0.967635403,0.995244565
Candida_caryicola,Mock3,Qmin17,kraken2,NCBI,0.972198821,0.949794239,0.995685936
Candida_catenulata,Mock3,Qmin17,kraken2,NCBI,0.975755315,0.958944282,0.993166287
Candida_dubliniensis,Mock3,Qmin17,kraken2,NCBI,0.973810194,0.952092511,0.996541787
Candida_glabrata,Mock3,Qmin17,kraken2,NCBI,0.829340432,0.711314054,0.994326241
Candida_metapsilosis,Mock3,Qmin17,kraken2,NCBI,0,0,0
Candida_parapsilosis,Mock3,Qmin17,kraken2,NCBI,0.97710746,0.959280804,0.995609221
Candida_tropicalis,Mock3,Qmin17,kraken2,NCBI,0.971428571,0.951190476,0.992546584
Candida_zeylanoides,Mock3,Qmin17,kraken2,NCBI,0.978676873,0.966522678,0.991140642
